purity	size
1.0	11
1.0	1
1.0	1
1.0	220
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	233
1.0	1
1.0	1
1.0	1
1.0	143
1.0	123
1.0	1
1.0	1
1.0	1
1.0	143
1.0	1
1.0	121
1.0	1
1.0	264
1.0	1
1.0	1
1.0	1
1.0	208
1.0	1
1.0	123
1.0	1
1.0	1
1.0	1
1.0	152
1.0	1
1.0	1
1.0	1
1.0	105
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	225
1.0	1
1.0	1
1.0	199
1.0	1
1.0	1
1.0	1
1.0	122
1.0	1
1.0	1
1.0	127
1.0	1
1.0	1
1.0	1
1.0	1
1.0	244
1.0	380
1.0	120
1.0	106
1.0	1
1.0	1
1.0	1
1.0	223
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	534
1.0	1
1.0	1
1.0	1
1.0	1
1.0	104
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	377
1.0	1
1.0	1
1.0	114
1.0	163
1.0	101
1.0	1
1.0	1
1.0	2
1.0	128
1.0	1
1.0	1
1.0	122
1.0	1
1.0	1
1.0	1
1.0	106
1.0	1
1.0	1
1.0	83
1.0	1
1.0	1
1.0	1
1.0	113
1.0	1
1.0	1
1.0	1
1.0	300
1.0	1
1.0	132
1.0	1
1.0	422
1.0	1
1.0	1
1.0	1
1.0	151
1.0	126
1.0	179
1.0	1
1.0	1
1.0	141
0.5251141552511416	219
1.0	1
1.0	1
1.0	194
1.0	1
1.0	1
1.0	219
1.0	125
1.0	1
1.0	1
1.0	135
1.0	1
1.0	1
1.0	1
1.0	1
1.0	153
1.0	1
1.0	1
1.0	134
1.0	1
1.0	1
1.0	125
1.0	1
1.0	1
1.0	1
1.0	164
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	222
1.0	125
1.0	1
0.9917355371900827	121
1.0	1
1.0	1
1.0	210
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	217
1.0	120
1.0	1
1.0	1
1.0	184
1.0	1
1.0	1
1.0	1
0.9921259842519685	127
1.0	153
1.0	1
1.0	1
1.0	120
1.0	1
1.0	374
1.0	245
1.0	1
1.0	1
1.0	203
1.0	1
1.0	123
1.0	100
1.0	1
1.0	146
1.0	1
1.0	116
1.0	1
1.0	142
1.0	1
1.0	119
1.0	92
1.0	98
1.0	118
1.0	162
1.0	1
1.0	1
1.0	116
1.0	116
1.0	90
1.0	1
1.0	1
1.0	2
1.0	1
1.0	114
1.0	1
1.0	279
1.0	1
1.0	111
1.0	1
1.0	94
1.0	123
1.0	124
1.0	100
1.0	94
1.0	120
1.0	171
1.0	124
1.0	1
1.0	153
1.0	1
1.0	1
1.0	1
1.0	175
1.0	1
1.0	111
1.0	1
1.0	123
1.0	101
1.0	111
1.0	102
1.0	118
1.0	98
1.0	125
1.0	229
1.0	102
1.0	128
1.0	1
1.0	257
1.0	1
1.0	132
1.0	119
1.0	82
1.0	181
1.0	98
1.0	98
1.0	196
1.0	106
1.0	107
1.0	114
1.0	100
1.0	193
1.0	123
1.0	111
1.0	1
1.0	111
1.0	210
1.0	211
1.0	1
1.0	158
1.0	228
1.0	135
1.0	1
1.0	127
1.0	98
1.0	1
1.0	127
1.0	106
1.0	95
1.0	222
1.0	1
1.0	112
1.0	116
1.0	124
1.0	1
1.0	1
1.0	133
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	122
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	126
1.0	1
1.0	1
1.0	116
1.0	1
1.0	1
1.0	125
1.0	1
1.0	1
1.0	1
1.0	133
1.0	113
1.0	1
1.0	1
1.0	1
1.0	1
1.0	117
1.0	1
1.0	1
1.0	1
1.0	118
1.0	1
1.0	117
1.0	1
1.0	1
1.0	1
1.0	1
1.0	164
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	290
1.0	113
1.0	1
1.0	115
1.0	116
1.0	97
1.0	1
1.0	102
1.0	101
1.0	138
0.525	240
0.5274261603375527	237
0.539906103286385	213
1.0	111
0.5091575091575091	273
1.0	78
1.0	1
1.0	1
1.0	1
1.0	174
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	325
1.0	1
1.0	167
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	269
1.0	1
1.0	1
1.0	1
1.0	251
1.0	1
1.0	1
1.0	1
1.0	1
1.0	205
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	144
1.0	1
1.0	1
1.0	1
1.0	1
1.0	164
1.0	116
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	500
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	284
1.0	1
1.0	141
1.0	1
1.0	147
1.0	123
1.0	227
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	211
1.0	1
1.0	1
1.0	1
1.0	154
1.0	1
1.0	1
1.0	1
1.0	158
1.0	1
1.0	1
1.0	134
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	3
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	440
1.0	1
1.0	1
1.0	125
1.0	51
1.0	108
1.0	108
1.0	119
1.0	220
1.0	138
1.0	262
1.0	1
1.0	1
1.0	94
1.0	100
1.0	123
1.0	92
1.0	108
1.0	114
1.0	124
1.0	128
1.0	1
1.0	117
1.0	191
1.0	108
1.0	129
1.0	106
1.0	109
1.0	106
1.0	114
1.0	105
1.0	105
1.0	119
1.0	113
1.0	1
1.0	1
1.0	180
1.0	118
1.0	241
1.0	113
1.0	121
1.0	221
1.0	141
1.0	129
1.0	1
1.0	110
1.0	106
1.0	117
1.0	102
1.0	248
1.0	1
1.0	99
1.0	120
1.0	247
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	114
1.0	369
1.0	1
1.0	1
1.0	1
1.0	241
1.0	1
1.0	1
1.0	110
1.0	131
1.0	1
1.0	95
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	129
1.0	1
1.0	1
1.0	1
1.0	1
1.0	169
1.0	209
1.0	1
1.0	1
1.0	144
1.0	1
1.0	1
1.0	1
1.0	1
1.0	164
1.0	1
1.0	217
1.0	1
1.0	1
1.0	1
1.0	366
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	343
1.0	254
1.0	1
1.0	1
1.0	228
1.0	1
1.0	1
1.0	1
1.0	1
1.0	183
1.0	1
1.0	1
1.0	1
1.0	294
1.0	1
1.0	1
1.0	1
1.0	1
1.0	119
1.0	1
1.0	1
1.0	135
1.0	1
1.0	1
1.0	1
1.0	1
1.0	151
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	299
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	213
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	262
1.0	1
1.0	10
1.0	1
1.0	1
1.0	1
1.0	1
1.0	233
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	4
1.0	1
1.0	1
1.0	2
1.0	1
1.0	319
1.0	198
1.0	1
1.0	1
1.0	3
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	2
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	697
1.0	1
1.0	1
1.0	127
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	636
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	185
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	321
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	114
1.0	1
1.0	1
1.0	1
1.0	1
1.0	114
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	269
1.0	1
1.0	1
1.0	1
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	241
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	132
1.0	1
1.0	1
1.0	1
1.0	1
1.0	111
1.0	2
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	4
1.0	1
1.0	291
1.0	195
1.0	118
1.0	1
1.0	145
1.0	1
1.0	241
1.0	1
1.0	1
1.0	112
1.0	120
1.0	1
1.0	78
1.0	1
1.0	214
1.0	1
1.0	1
1.0	122
1.0	1
1.0	123
1.0	114
1.0	115
1.0	95
1.0	1
1.0	101
1.0	125
1.0	1
1.0	116
1.0	1
1.0	1
1.0	99
1.0	1
1.0	270
1.0	1
1.0	102
1.0	1
1.0	1
1.0	98
1.0	1
1.0	1
1.0	136
1.0	377
1.0	347
1.0	1
1.0	1
1.0	328
1.0	1
1.0	1
1.0	1
1.0	272
1.0	1
1.0	1
1.0	1
1.0	1
1.0	150
1.0	245
1.0	1
1.0	1
1.0	1
1.0	1
1.0	124
1.0	1
1.0	1
1.0	146
1.0	121
1.0	1
1.0	1
1.0	175
1.0	218
1.0	127
1.0	1
1.0	1
1.0	1
1.0	1
1.0	187
1.0	1
1.0	139
1.0	1
1.0	1
1.0	120
1.0	108
1.0	1
1.0	1
1.0	1
1.0	1
1.0	215
1.0	1
