l1	l2	corr	p	corr.spearman	p.spearman	method	sample	coverage	precision	recall
604.0	25.495097567963924	-0.1096966348480541	0.0069650061387808	-0.1111812415064333	0.0062330955972129	assembly-based	HQ	1	0.92	0.038269550748752
539.0	24.145392935299277	-0.1346222554702854	0.0008414955993023	-0.1929719222462146	1.514010416748696e-06	assembly-based	HQ	2	0.8981481481481481	0.1613976705490848
217.0	15.066519173319364	0.0964136545604262	0.0160727634792899	0.0553313391932217	0.1677863391281476	assembly-based	HQ	4	0.9507829977628636	0.7071547420965059
119.0	11.180339887498947	0.3143344872500811	2.186258335041293e-15	0.2550278646401832	1.8178526016091502e-10	assembly-based	HQ	8	0.9886792452830188	0.8718801996672213
90.0	10.0	0.2977326914653617	5.668998019442816e-14	0.2648807656651126	2.8674117729753507e-11	assembly-based	HQ	16	0.981981981981982	0.9068219633943428
91.0	9.848857801796104	0.3496788914382006	6.301403799300513e-19	0.3098936302239625	5.332192031689742e-15	assembly-based	HQ	32	0.987410071942446	0.913477537437604
590.0	25.099800796022265	0.1880487782293024	3.451368401752388e-06	0.0360516324968319	0.3776343435822712	assembly-based	LQ	1	1.0	0.0532445923460898
513.0	23.345235059857504	-0.0275749042354617	0.4977072121023435	-0.0412605591240712	0.310158980169985	assembly-based	LQ	2	0.952	0.1980033277870216
199.0	14.177446878757824	0.2644495543644959	3.5889841674268454e-11	0.2009954039631337	5.950039624033111e-07	assembly-based	LQ	4	0.9863013698630136	0.718801996672213
48.0	7.211102550927978	0.5055987147566448	2.20520752125268e-40	0.4596323042772336	8.46200576407677e-33	assembly-based	LQ	8	0.9982486865148862	0.9484193011647256
17.0	4.123105625617661	0.7313993860190895	3.681004401597078e-102	0.7111447986756622	3.4942706178722193e-94	assembly-based	LQ	16	0.9949579831932772	0.9850249584026622
7.0	2.6457513110645907	0.869905972535708	6.046077603656638e-187	0.8605382316971606	1.6563927950545428e-178	assembly-based	LQ	32	0.995008319467554	0.995008319467554
648.0	26.457513110645905	-0.6710351588687737	7.232473006248116e-83	-0.713130712132141	5.007467981797807e-98	binning-based	HQ	1	1.0	0.0016638935108153
683.0	28.30194339616981	-0.648934681013458	1.6407016871840702e-80	-0.7214179612176544	1.4135863990782622e-107	binning-based	HQ	2	0.7428571428571429	0.043261231281198
579.0	33.090784215548595	-0.5187942400468994	8.389520617448702e-49	-0.4257794069850263	9.291901769055931e-32	binning-based	HQ	4	0.984126984126984	0.4126455906821963
359.0	24.75883680627989	-0.3937362500391035	9.470446877570276e-27	-0.3275565376362939	1.5175005590004813e-18	binning-based	HQ	8	0.9975786924939468	0.6855241264559068
352.0	25.099800796022265	-0.4258758126861786	3.326918586788624e-31	-0.3172167283634497	2.7227146419452764e-17	binning-based	HQ	16	0.995249406175772	0.697171381031614
291.0	21.37755832643195	-0.3213799202270473	9.898508842833233e-18	-0.2751749049678593	3.151501025465157e-13	binning-based	HQ	32	0.9934782608695653	0.7603993344425957
650.0	26.5329983228432	-0.6613014022102016	2.4486887738386728e-80	-0.7140614430222085	3.60999319817356e-99	binning-based	LQ	1	1.0	0.0066555740432612
711.0	29.171904291629644	-0.695109703002327	7.890734608259108e-99	-0.7857285292724978	6.020553888924912e-143	binning-based	LQ	2	0.6666666666666666	0.0332778702163061
465.0	26.362852652928137	-0.4301653672735562	4.784215315576445e-32	-0.3522527595948612	2.5173308305405876e-21	binning-based	LQ	4	0.9777070063694268	0.5108153078202995
274.0	20.346989949375804	-0.2910186330138481	1.3292940283485063e-14	-0.2159415485838875	1.5271248850288265e-08	binning-based	LQ	8	0.978902953586498	0.7720465890183028
107.0	11.958260743101398	-0.0074390852219565	0.8510096646978971	0.0253617136289818	0.5218768363327527	binning-based	LQ	16	0.9963963963963964	0.9201331114808652
73.0	9.848857801796104	0.1251221459279765	0.0016513665015983	0.1634741110661232	3.7431973002741984e-05	binning-based	LQ	32	0.9965034965034965	0.9484193011647256
513.7429999999999	26.14267692873092	0.0860081621991035	0.0338313683821286	0.0709039721383161	0.0804001475780499	read-based	HQ	1	0.981651376146789	0.5341098169717138
417.798	23.814654311998737	0.1713517345899045	2.1243803699850107e-05	0.1206409364485456	0.002864193438923	read-based	HQ	2	0.9898580121703854	0.8119800332778702
276.207	14.392956992918446	0.287476292959302	3.0457739745418134e-13	0.258311551141891	6.810134138207057e-11	read-based	HQ	4	0.9832775919732442	0.978369384359401
180.394	9.46832023117089	0.4609627242743975	9.831597208774617e-34	0.3325918769540516	2.241237217566426e-17	read-based	HQ	8	0.9884488448844884	0.9966722129783694
136.589	7.415771099487902	0.6125962448796791	1.8987716343205917e-65	0.3578915992179427	2.909729162286456e-20	read-based	HQ	16	0.980327868852459	0.995008319467554
99.672	5.438507883601899	0.733001235754347	5.220220494759674e-106	0.398058095287054	4.354346260244897e-25	read-based	HQ	32	0.9803600654664484	0.9966722129783694
645.6089999999999	40.87756640261257	0.146474874255732	0.0002771109104899	0.0862099944322088	0.0329798542648677	read-based	LQ	1	0.9884393063583816	0.5690515806988353
419.467	21.450132750171967	0.3145425402207835	7.655923223359896e-16	0.2801447748674469	9.425848977657577e-13	read-based	LQ	2	0.9705304518664049	0.8219633943427621
278.087	14.028899137138309	0.3784678995603383	7.460139882419888e-23	0.3260026075727482	4.8562486630835775e-17	read-based	LQ	4	0.9747048903878583	0.961730449251248
198.492	10.155332589334533	0.5562505855260218	1.3803861290180308e-53	0.433625282018618	6.610077853471058e-31	read-based	LQ	8	0.9568	0.995008319467554
144.272	7.739586164647306	0.6847159270166681	2.101005995486743e-90	0.4769822253720076	5.944203927905484e-38	read-based	LQ	16	0.961352657004831	0.9933444259567388
115.672	6.565442254715214	0.7599605232398203	6.410896006591193e-124	0.5107646106689849	1.1259574444135338e-44	read-based	LQ	32	0.9505582137161084	0.9916805324459236
