species	subtype	cnt	cnt.est	method	sample	coverage
Acinetobacter baumannii	abaF	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	abaQ	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	abeM	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	abeS	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	aceI	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeA	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeB	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeF	1.0	1.0	assembly-based	HQ	1
Acinetobacter baumannii	adeG	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeH	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeI	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeJ	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeK	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	adeT	2.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	amvA	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	ant(3'')-II	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	bacA	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	blaADC	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	blaOXA	2.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	craA	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	cxpE	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	macA	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	macB	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	bacA	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	bla*	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	bla1	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	bla2	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	bla3	2.0	0.0	assembly-based	HQ	1
Bacillus cereus	catA	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	dltA	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	dltB	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	dltC	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	dltD	2.0	0.0	assembly-based	HQ	1
Bacillus cereus	fosB	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	lsa*	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	mprF	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	satA	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	tet*	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	vat*	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	bacA	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	blaOXA	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	cmeA	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	cmeB	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	cmeC	1.0	0.0	assembly-based	HQ	1
