species	type	cnt	cnt.est	method	sample	coverage
Acinetobacter baumannii	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	bacitracin	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	beta-lactam	3.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	biocide	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	fosfomycin	1.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Acinetobacter baumannii	multidrug	14.0	1.0	assembly-based	HQ	1
Acinetobacter baumannii	phenicol	2.0	0.0	assembly-based	HQ	1
Bacillus cereus	bacitracin	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	beta-lactam	5.0	0.0	assembly-based	HQ	1
Bacillus cereus	defensin	6.0	0.0	assembly-based	HQ	1
Bacillus cereus	fosfomycin	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Bacillus cereus	phenicol	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	streptothricin	1.0	0.0	assembly-based	HQ	1
Bacillus cereus	tetracycline	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	bacitracin	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	beta-lactam	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	colistin	1.0	0.0	assembly-based	HQ	1
Campylobacter jejuni	multidrug	6.0	0.0	assembly-based	HQ	1
Citrobacter freundii	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Citrobacter freundii	bacitracin	2.0	0.0	assembly-based	HQ	1
Citrobacter freundii	bacteriocin	2.0	0.0	assembly-based	HQ	1
Citrobacter freundii	beta-lactam	1.0	0.0	assembly-based	HQ	1
Citrobacter freundii	biocide	3.0	0.0	assembly-based	HQ	1
Citrobacter freundii	colistin	10.0	0.0	assembly-based	HQ	1
Citrobacter freundii	fosmidomycin	1.0	0.0	assembly-based	HQ	1
Citrobacter freundii	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Citrobacter freundii	multidrug	24.0	0.0	assembly-based	HQ	1
Clostridioides difficile	bacitracin	2.0	0.0	assembly-based	HQ	1
Clostridioides difficile	beta-lactam	1.0	0.0	assembly-based	HQ	1
Clostridioides difficile	biocide	1.0	0.0	assembly-based	HQ	1
Clostridioides difficile	defensin	3.0	0.0	assembly-based	HQ	1
Clostridioides difficile	glycopeptide	2.0	0.0	assembly-based	HQ	1
Clostridioides difficile	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
Clostridioides difficile	multidrug	2.0	0.0	assembly-based	HQ	1
Clostridioides difficile	nitroimidazole	1.0	0.0	assembly-based	HQ	1
Enterobacter cloacae	bacitracin	2.0	1.0	assembly-based	HQ	1
Enterobacter cloacae	bacteriocin	1.0	0.0	assembly-based	HQ	1
Enterobacter cloacae	beta-lactam	2.0	0.0	assembly-based	HQ	1
Enterobacter cloacae	biocide	2.0	0.0	assembly-based	HQ	1
Enterobacter cloacae	colistin	10.0	4.0	assembly-based	HQ	1
Enterobacter cloacae	fosfomycin	1.0	0.0	assembly-based	HQ	1
Enterobacter cloacae	fosmidomycin	1.0	1.0	assembly-based	HQ	1
Enterobacter cloacae	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Enterobacter cloacae	multidrug	21.0	1.0	assembly-based	HQ	1
Enterobacter hormaechei	bacitracin	2.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	bacteriocin	1.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	beta-lactam	1.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	biocide	2.0	1.0	assembly-based	HQ	1
Enterobacter hormaechei	colistin	10.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	fosfomycin	1.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	fosmidomycin	1.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	macrolide-lincosamide-streptogramin	3.0	0.0	assembly-based	HQ	1
Enterobacter hormaechei	multidrug	19.0	1.0	assembly-based	HQ	1
Enterobacter hormaechei	phenicol	1.0	0.0	assembly-based	HQ	1
Enterococcus faecium	aminoglycoside	2.0	0.0	assembly-based	HQ	1
Enterococcus faecium	bacitracin	1.0	0.0	assembly-based	HQ	1
Enterococcus faecium	defensin	6.0	0.0	assembly-based	HQ	1
Enterococcus faecium	fosfomycin	1.0	0.0	assembly-based	HQ	1
Enterococcus faecium	glycopeptide	2.0	0.0	assembly-based	HQ	1
Enterococcus faecium	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
Enterococcus faecium	multidrug	3.0	0.0	assembly-based	HQ	1
Escherichia coli	bacitracin	2.0	0.0	assembly-based	HQ	1
Escherichia coli	bacteriocin	2.0	0.0	assembly-based	HQ	1
Escherichia coli	beta-lactam	1.0	0.0	assembly-based	HQ	1
Escherichia coli	biocide	2.0	0.0	assembly-based	HQ	1
Escherichia coli	colistin	10.0	0.0	assembly-based	HQ	1
Escherichia coli	fosmidomycin	1.0	0.0	assembly-based	HQ	1
Escherichia coli	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Escherichia coli	multidrug	30.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	aminoglycoside	5.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	bacitracin	2.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	beta-lactam	7.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	biocide	4.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	colistin	10.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	fosfomycin	1.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	fosmidomycin	1.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	multidrug	27.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	phenicol	1.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	sulfonamide	1.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	tetracycline	1.0	0.0	assembly-based	HQ	1
Klebsiella pneumoniae	trimethoprim	1.0	0.0	assembly-based	HQ	1
Legionella pneumophila	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Legionella pneumophila	beta-lactam	1.0	0.0	assembly-based	HQ	1
Legionella pneumophila	biocide	1.0	0.0	assembly-based	HQ	1
Listeria monocytogenes	bacteriocin	2.0	0.0	assembly-based	HQ	1
Listeria monocytogenes	biocide	4.0	0.0	assembly-based	HQ	1
Listeria monocytogenes	defensin	5.0	2.0	assembly-based	HQ	1
Listeria monocytogenes	fosfomycin	1.0	0.0	assembly-based	HQ	1
Listeria monocytogenes	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
Listeria monocytogenes	multidrug	5.0	2.0	assembly-based	HQ	1
Listeria monocytogenes	rifamycin	1.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	bacitracin	1.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	beta-lactam	1.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	defensin	1.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	doxorubicin	2.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	multidrug	7.0	0.0	assembly-based	HQ	1
Mycobacterium tuberculosis	quinolone	1.0	0.0	assembly-based	HQ	1
Neisseria gonorrhoeae	bacitracin	1.0	0.0	assembly-based	HQ	1
Neisseria gonorrhoeae	fatty_acid	2.0	0.0	assembly-based	HQ	1
Neisseria gonorrhoeae	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Neisseria gonorrhoeae	multidrug	4.0	0.0	assembly-based	HQ	1
Neisseria gonorrhoeae	sulfonamide	1.0	0.0	assembly-based	HQ	1
Neisseria meningitidis	bacitracin	1.0	1.0	assembly-based	HQ	1
Neisseria meningitidis	fatty_acid	2.0	0.0	assembly-based	HQ	1
Neisseria meningitidis	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Neisseria meningitidis	multidrug	4.0	0.0	assembly-based	HQ	1
Neisseria meningitidis	sulfonamide	1.0	0.0	assembly-based	HQ	1
Providencia alcalifaciens	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Providencia alcalifaciens	bacitracin	1.0	0.0	assembly-based	HQ	1
Providencia alcalifaciens	beta-lactam	1.0	0.0	assembly-based	HQ	1
Providencia alcalifaciens	biocide	1.0	1.0	assembly-based	HQ	1
Providencia alcalifaciens	colistin	8.0	0.0	assembly-based	HQ	1
Providencia alcalifaciens	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Providencia alcalifaciens	multidrug	13.0	1.0	assembly-based	HQ	1
Providencia alcalifaciens	quinolone	1.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	bacitracin	1.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	beta-lactam	2.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	biocide	6.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	colistin	9.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	defensin	1.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	fosfomycin	1.0	0.0	assembly-based	HQ	1
Pseudomonas aeruginosa	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
