species	type	cnt	genome	est
Bacillus spizizenii	bacitracin	4.0	109.5	3.571
Bacillus spizizenii	bacteriocin	2.0	109.5	1.9180000000000001
Bacillus spizizenii	beta-lactam	2.0	109.5	1.827
Bacillus spizizenii	biocide	2.0	109.5	1.222
Bacillus spizizenii	defensin	7.0	109.5	7.643
Bacillus spizizenii	fosfomycin	1.0	109.5	0.623
Bacillus spizizenii	linearmycin	2.0	109.5	2.469
Bacillus spizizenii	macrolide-lincosamide-streptogramin	3.0	109.5	2.7119999999999997
Bacillus spizizenii	multidrug	7.0	109.5	6.411
Bacillus spizizenii	rifamycin	1.0	109.5	0.981
Bacillus spizizenii	surfactin	1.0	109.5	1.014
Bacillus spizizenii	tunicamycin	1.0	109.5	0.836
Enterococcus faecalis	bacitracin	1.0	124.125	0.924
Enterococcus faecalis	defensin	6.0	124.125	5.809
Enterococcus faecalis	macrolide-lincosamide-streptogramin	1.0	124.125	1.169
Enterococcus faecalis	multidrug	7.0	124.125	6.429
Escherichia coli	bacitracin	2.0	107.25	2.044
Escherichia coli	bacteriocin	2.0	107.25	1.9729999999999999
Escherichia coli	beta-lactam	1.0	107.25	1.359
Escherichia coli	biocide	2.0	107.25	3.255
Escherichia coli	colistin	10.0	107.25	10.284
Escherichia coli	fosmidomycin	1.0	107.25	1.163
Escherichia coli	macrolide-lincosamide-streptogramin	2.0	107.25	1.655
Escherichia coli	multidrug	28.0	107.25	28.242
Limosilactobacillus fermentum	bacitracin	1.0	170.0	0.884
Limosilactobacillus fermentum	defensin	5.0	170.0	5.447
Listeria monocytogenes	bacteriocin	2.0	126.375	1.8599999999999999
Listeria monocytogenes	biocide	4.0	126.375	3.448
Listeria monocytogenes	defensin	5.0	126.375	3.8369999999999997
Listeria monocytogenes	fosfomycin	1.0	126.375	1.064
Listeria monocytogenes	macrolide-lincosamide-streptogramin	1.0	126.375	0.867
Listeria monocytogenes	multidrug	5.0	126.375	4.875
Listeria monocytogenes	rifamycin	1.0	126.375	1.0
Pseudomonas aeruginosa	aminoglycoside	1.0	76.625	0.899
Pseudomonas aeruginosa	bacitracin	1.0	76.625	1.041
Pseudomonas aeruginosa	beta-lactam	2.0	76.625	1.779
Pseudomonas aeruginosa	biocide	6.0	76.625	5.298
Pseudomonas aeruginosa	colistin	9.0	76.625	8.455
Pseudomonas aeruginosa	defensin	1.0	76.625	0.828
Pseudomonas aeruginosa	fosfomycin	1.0	76.625	0.83
Pseudomonas aeruginosa	macrolide-lincosamide-streptogramin	1.0	76.625	1.021
Pseudomonas aeruginosa	multidrug	30.0	76.625	27.185
Pseudomonas aeruginosa	phenicol	1.0	76.625	0.725
Salmonella enterica	aminoglycoside	1.0	114.75	0.561
Salmonella enterica	bacitracin	2.0	114.75	1.845
Salmonella enterica	bacteriocin	1.0	114.75	0.813
Salmonella enterica	biocide	3.0	114.75	1.678
Salmonella enterica	colistin	10.0	114.75	8.659
Salmonella enterica	fosmidomycin	1.0	114.75	1.075
Salmonella enterica	macrolide-lincosamide-streptogramin	2.0	114.75	1.73
Salmonella enterica	multidrug	25.0	114.75	21.353
Staphylococcus aureus	aminoglycoside	1.0	139.875	4.082
Staphylococcus aureus	bacitracin	1.0	139.875	1.073
Staphylococcus aureus	bacteriocin	2.0	139.875	2.067
Staphylococcus aureus	beta-lactam	1.0	139.875	0.888
Staphylococcus aureus	biocide	2.0	139.875	1.037
Staphylococcus aureus	defensin	9.0	139.875	8.499
Staphylococcus aureus	fatty acid	1.0	139.875	0.961
Staphylococcus aureus	fosfomycin	1.0	139.875	1.045
Staphylococcus aureus	multidrug	8.0	139.875	8.238
Staphylococcus aureus	tetracycline	2.0	139.875	4.802
Bacillus spizizenii	aminoglycoside	0.0	109.5	0.009
Enterococcus faecalis	tetracycline	0.0	124.125	0.007
Escherichia coli	surfactin	0.0	107.25	0.009
Listeria monocytogenes	beta-lactam	0.0	126.375	0.008
