species	subtype	cnt	genome	est
Acinetobacter baumannii	abaF	1.0	12.625	0.972
Acinetobacter baumannii	abaQ	1.0	12.625	0.907
Acinetobacter baumannii	abeM	1.0	12.625	1.191
Acinetobacter baumannii	abeS	1.0	12.625	1.071
Acinetobacter baumannii	aceI	1.0	12.625	1.13
Acinetobacter baumannii	adeA	1.0	12.625	1.152
Acinetobacter baumannii	adeB	1.0	12.625	1.253
Acinetobacter baumannii	adeF	1.0	12.625	1.506
Acinetobacter baumannii	adeG	1.0	12.625	1.319
Acinetobacter baumannii	adeH	1.0	12.625	1.039
Acinetobacter baumannii	adeI	1.0	12.625	1.476
Acinetobacter baumannii	adeJ	1.0	12.625	1.237
Acinetobacter baumannii	adeK	1.0	12.625	1.112
Acinetobacter baumannii	adeT	2.0	12.625	1.991
Acinetobacter baumannii	amvA	1.0	12.625	1.704
Acinetobacter baumannii	ant(3'')-II	1.0	12.625	0.828
Acinetobacter baumannii	bacA	1.0	12.625	0.826
Acinetobacter baumannii	blaADC	1.0	12.625	1.185
Acinetobacter baumannii	blaOXA	1.0	12.625	1.519
Acinetobacter baumannii	craA	1.0	12.625	0.882
Acinetobacter baumannii	cxpE	1.0	12.625	0.494
Acinetobacter baumannii	macA	1.0	12.625	1.115
Acinetobacter baumannii	macB	1.0	12.625	1.011
Acinetobacter baumannii	sul2	1.0	12.625	0.236
Bacillus pacificus	bacA	1.0	108.5	0.742
Bacillus pacificus	bla1	1.0	108.5	0.642
Bacillus pacificus	bla2	1.0	108.5	0.926
Bacillus pacificus	catA	1.0	108.5	0.851
Bacillus pacificus	dltA	1.0	108.5	0.868
Bacillus pacificus	dltB	1.0	108.5	0.893
Bacillus pacificus	dltC	1.0	108.5	0.884
Bacillus pacificus	dltD	2.0	108.5	1.581
Bacillus pacificus	fosB	1.0	108.5	0.714
Bacillus pacificus	mprF	1.0	108.5	0.772
Bacillus pacificus	satA	1.0	108.5	0.867
Bacillus pacificus	tet*	1.0	108.5	0.752
Bacillus pacificus	vat*	1.0	108.5	0.756
Bifidobacterium adolescentis	bacA	1.0	0.0	0.0
Cereibacter sphaeroides	bacA	1.0	1980.625	0.783
Cereibacter sphaeroides	catB	1.0	1980.625	0.852
Cereibacter sphaeroides	mprF	1.0	1980.625	0.845
Clostridium beijerinckii	bacA	1.0	31.5	0.617
Clostridium beijerinckii	catA	1.0	31.5	0.465
Clostridium beijerinckii	dltA	1.0	31.5	0.628
Clostridium beijerinckii	dltB	1.0	31.5	0.653
Clostridium beijerinckii	dltC	1.0	31.5	0.677
Clostridium beijerinckii	dltD	1.0	31.5	0.624
Clostridium beijerinckii	lsa*	1.0	31.5	0.572
Clostridium beijerinckii	sugE	1.0	31.5	0.746
Clostridium beijerinckii	vat*	1.0	31.5	0.976
Cutibacterium acnes	bacA	1.0	14.625	1.179
Cutibacterium acnes	lysX	1.0	14.625	0.809
Deinococcus radiodurans	aph(3')*	1.0	0.0	0.0
Deinococcus radiodurans	bacA	1.0	0.0	0.0
Deinococcus radiodurans	tmrD	1.0	0.0	0.0
Enterococcus faecalis	bacA	1.0	0.0	0.0
Enterococcus faecalis	dltA	1.0	0.0	0.0
Enterococcus faecalis	dltB	1.0	0.375	2.653
Enterococcus faecalis	dltC	1.0	0.0	0.0
Enterococcus faecalis	dltD	1.0	0.0	0.0
Enterococcus faecalis	efrA	1.0	0.0	0.0
Enterococcus faecalis	efrB	1.0	0.0	0.0
Enterococcus faecalis	efrC	1.0	0.0	0.0
Enterococcus faecalis	efrD	1.0	0.0	0.0
Enterococcus faecalis	efrE	1.0	0.0	0.0
Enterococcus faecalis	efrF	1.0	0.0	0.0
Enterococcus faecalis	emeA	1.0	0.375	4.861
Enterococcus faecalis	lsa(A)	1.0	0.375	2.667
Enterococcus faecalis	mprF	2.0	0.0	0.0
Escherichia coli	acrA	1.0	1169.0	1.02
Escherichia coli	acrB	1.0	1169.0	1.011
Escherichia coli	acrD	1.0	1169.0	0.931
Escherichia coli	acrE	1.0	1169.0	1.032
Escherichia coli	acrF	1.0	1169.0	1.042
Escherichia coli	arnA	1.0	1169.0	0.898
Escherichia coli	arnB	1.0	1169.0	0.836
Escherichia coli	arnC	1.0	1169.0	0.85
Escherichia coli	arnD	1.0	1169.0	0.925
Escherichia coli	arnE	1.0	1169.0	0.967
Escherichia coli	arnF	1.0	1169.0	0.978
Escherichia coli	arnT	1.0	1169.0	0.953
Escherichia coli	bacA	2.0	1169.0	1.899
Escherichia coli	bcr	1.0	1169.0	0.96
Escherichia coli	blaEC	1.0	1169.0	1.116
Escherichia coli	cbrA	1.0	1169.0	1.018
Escherichia coli	dinF	1.0	1169.0	0.99
Escherichia coli	emrA	1.0	1169.0	1.427
Escherichia coli	emrB	1.0	1169.0	1.025
Escherichia coli	emrD	1.0	1169.0	0.932
