species	type	cnt	genome	est
Bacteroides fragilis	beta-lactam	1.0	620.125	1.053
Bifidobacterium adolescentis	bacitracin	1.0	27.0	1.354
Clostridioides difficile	bacitracin	2.0	1096.75	2.056
Clostridioides difficile	beta-lactam	1.0	1096.75	1.109
Clostridioides difficile	biocide	1.0	1096.75	1.111
Clostridioides difficile	defensin	3.0	1096.75	4.094
Clostridioides difficile	glycopeptide	2.0	1096.75	1.624
Clostridioides difficile	macrolide-lincosamide-streptogramin	1.0	1096.75	0.898
Clostridioides difficile	multidrug	2.0	1096.75	2.092
Clostridioides difficile	nitroimidazole	1.0	1096.75	0.88
Enterobacter cloacae	bacitracin	2.0	121.625	1.677
Enterobacter cloacae	bacteriocin	1.0	121.625	0.68
Enterobacter cloacae	beta-lactam	1.0	121.625	0.98
Enterobacter cloacae	biocide	2.0	121.625	2.0709999999999997
Enterobacter cloacae	colistin	10.0	121.625	9.032
Enterobacter cloacae	fosfomycin	1.0	121.625	0.852
Enterobacter cloacae	fosmidomycin	1.0	121.625	0.678
Enterobacter cloacae	macrolide-lincosamide-streptogramin	2.0	121.625	1.4689999999999999
Enterobacter cloacae	multidrug	20.0	121.625	16.815
Enterobacter cloacae	sulfonamide	1.0	121.625	0.752
Enterococcus faecalis	aminoglycoside	1.0	172.0	4.256
Enterococcus faecalis	bacitracin	1.0	172.0	0.916
Enterococcus faecalis	biocide	1.0	172.0	2.586
Enterococcus faecalis	defensin	6.0	172.0	5.747
Enterococcus faecalis	glycopeptide	3.0	172.0	2.332
Enterococcus faecalis	macrolide-lincosamide-streptogramin	2.0	172.0	3.374
Enterococcus faecalis	multidrug	7.0	172.0	7.17
Escherichia coli	bacitracin	2.0	53.875	1.897
Escherichia coli	bacteriocin	2.0	53.875	1.975
Escherichia coli	beta-lactam	1.0	53.875	0.986
Escherichia coli	biocide	2.0	53.875	1.876
Escherichia coli	colistin	10.0	53.875	12.145
Escherichia coli	fosmidomycin	1.0	53.875	1.07
Escherichia coli	macrolide-lincosamide-streptogramin	2.0	53.875	1.6960000000000002
Escherichia coli	multidrug	30.0	53.875	35.544
Fusobacterium nucleatum	bacitracin	1.0	80.0	1.507
Helicobacter pylori	colistin	2.0	150.875	2.448
Helicobacter pylori	multidrug	3.0	150.875	3.434
Lactiplantibacillus plantarum	bacitracin	1.0	660.0	1.526
Lactiplantibacillus plantarum	defensin	6.0	660.0	5.852
Phocaeicola vulgatus	beta-lactam	1.0	199.375	1.015
Salmonella enterica	aminoglycoside	1.0	101.5	0.772
Salmonella enterica	bacitracin	2.0	101.5	1.694
Salmonella enterica	bacteriocin	1.0	101.5	0.899
Salmonella enterica	biocide	3.0	101.5	2.3529999999999998
Salmonella enterica	colistin	10.0	101.5	8.773
Salmonella enterica	fosmidomycin	1.0	101.5	0.825
Salmonella enterica	macrolide-lincosamide-streptogramin	2.0	101.5	1.654
Salmonella enterica	multidrug	22.0	101.5	18.501
Yersinia enterocolitica	bacitracin	2.0	282.25	1.91
Yersinia enterocolitica	beta-lactam	2.0	282.25	1.478
Yersinia enterocolitica	biocide	2.0	282.25	1.906
Yersinia enterocolitica	colistin	11.0	282.25	8.393
Yersinia enterocolitica	macrolide-lincosamide-streptogramin	4.0	282.25	3.032
Yersinia enterocolitica	multidrug	15.0	282.25	13.545
Helicobacter pylori	bacitracin	0.0	150.875	0.007
Yersinia enterocolitica	defensin	0.0	282.25	0.004
