accession	project	bases	gc	ags	country	div	arg_copies	cpg
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	4.457004473020852	11591.210000000001	4.480776999275188
SRR16329001	PRJNA763692	893.504378	290.125	3.0797221128823784	CN	3.2056159025457798	1079.918	3.722250753985351
SRR16329012	PRJNA763692	9743.632733	3066.75	3.1771852068150324	CN	4.982032997620836	6461.956	2.107102307002527
SRR16329013	PRJNA763692	5559.037658	1598.75	3.4771150323690385	CN	4.235043955111315	5876.413	3.675629710711493
SRR16329014	PRJNA763692	7574.71802	1921.0	3.943111931285789	CN	3.3820043473507635	7304.71	3.8025559604372723
SRR16329015	PRJNA763692	5560.241212	1413.25	3.93436491208208	CN	3.9371866003794995	6090.686	4.309701751282504
SRR16329016	PRJNA763692	5151.507189	1313.375	3.922342962977063	CN	3.7219918844004587	6900.858	5.2542937089559345
SRR16329017	PRJNA763692	5910.214162	1638.125	3.6079140248760018	CN	3.866472478673995	6813.923	4.159586722624952
SRR16329018	PRJNA763692	13838.822139	4749.5	2.9137429495736393	CN	3.10458353370021	13060.585	2.7498863038214547
SRR16329019	PRJNA763692	9347.166003	2452.375	3.811474999949029	CN	4.08239993202773	10428.561	4.25243325347877
SRR16329020	PRJNA763692	12548.25861	3426.0	3.662655753064799	CN	3.9090526105200842	11546.684	3.3703105662580266
SRR16329031	PRJNA763692	11451.752211	2704.375	4.234528203743934	CN	3.499314762420567	14267.768	5.2758097527155075
SRR16329047	PRJNA763692	8520.771988	2791.0	3.052945893228234	CN	3.428336690148129	8062.391	2.88871049802938
SRR16329058	PRJNA763692	9772.304995	3427.625	2.8510426301010177	CN	2.855921993453006	13441.557	3.921536632507932
SRR16329069	PRJNA763692	11166.011917	3123.875	3.574410601256452	CN	3.6150867330826797	14450.351	4.625777599935977
SRR16329073	PRJNA763692	6340.261076	1916.375	3.30846576270302	CN	4.612924126711168	5107.454	2.6651641771573935
SRR16329074	PRJNA763692	13924.74747	3667.5	3.796795492842536	CN	4.214047032671148	15922.273	4.34145139740968
SRR16329075	PRJNA763692	9413.580212	2881.75	3.2666193153465777	CN	2.66275276789758	11516.137	3.9962304155461092
SRR16329076	PRJNA763692	17143.003621	4662.875	3.676487922365493	CN	3.7140013784660226	15584.427	3.3422356378843525
SRR16329077	PRJNA763692	12213.030106	3650.375	3.3456919100092457	CN	4.612146445700326	10523.119	2.8827501284114647
SRR16329078	PRJNA763692	8299.054583	2329.125	3.563164099393549	CN	3.951305360232549	7506.838	3.2230292491815593
SRR16329089	PRJNA763692	9717.771787	2846.125	3.414386854758663	CN	3.9973833298461496	9432.666000000001	3.314213535948
SRR16329100	PRJNA763692	10682.613204	3500.5	3.0517392383945148	CN	4.2932158066496875	13808.602	3.9447513212398233
SRR16329105	PRJNA763692	7750.801125	1880.25	4.122218388512166	CN	3.241658610591634	12735.77	6.773445020608961
SRR16329106	PRJNA763692	8847.255688	1995.625	4.433325744065142	CN	3.1324733297421266	6789.417	3.402150704666458
SRR16329107	PRJNA763692	15461.989095	4580.625	3.375519518624642	CN	4.075741935946115	16531.946	3.6091026879519714
SRR16329108	PRJNA763692	10936.070679	3111.875	3.5143026885720023	CN	3.8057781697015285	10382.752	3.3364939144406507
SRR16329109	PRJNA763692	10221.432873	3507.5	2.914164753528154	CN	1.936484636730551	14061.549	4.008994725588026
SRR16329110	PRJNA763692	14519.058141	3656.375	3.9708886919421555	CN	3.675028166547322	12886.647	3.524432532221121
