species	type	subtype	carrier	cnt
Akkermansia muciniphila	bacitracin	bacA	chromosome	1.0
Akkermansia muciniphila	beta-lactam	bla*	chromosome	1.0
Bacteroides fragilis	beta-lactam	cepA	chromosome	1.0
Bacteroides fragilis	macrolide-lincosamide-streptogramin	mef(E)	chromosome	1.0
Bacteroides fragilis	tetracycline	tet(Q)	chromosome	1.0
Bifidobacterium adolescentis	bacitracin	bacA	chromosome	1.0
Clostridioides difficile	bacitracin	bacA	chromosome	2.0
Clostridioides difficile	beta-lactam	blaCDD	chromosome	1.0
Clostridioides difficile	biocide	sugE	chromosome	1.0
Clostridioides difficile	defensin	dltB	chromosome	1.0
Clostridioides difficile	defensin	dltC	chromosome	1.0
Clostridioides difficile	defensin	dltD	chromosome	1.0
Clostridioides difficile	glycopeptide	vanG	chromosome	1.0
Clostridioides difficile	glycopeptide	vanT	chromosome	1.0
Clostridioides difficile	macrolide-lincosamide-streptogramin	cplR	chromosome	1.0
Clostridioides difficile	macrolide-lincosamide-streptogramin	erm(B)	chromosome	1.0
Clostridioides difficile	multidrug	cdeA	chromosome	1.0
Clostridioides difficile	multidrug	cme	chromosome	1.0
Clostridioides difficile	nitroimidazole	nimB	chromosome	1.0
Clostridium perfringens	bacitracin	bacA	chromosome	1.0
Clostridium perfringens	defensin	mprF	chromosome	1.0
Clostridium perfringens	macrolide-lincosamide-streptogramin	cplR	chromosome	1.0
Enterococcus faecalis	bacitracin	bacA	chromosome	1.0
Enterococcus faecalis	defensin	dltA	chromosome	1.0
Enterococcus faecalis	defensin	dltB	chromosome	1.0
Enterococcus faecalis	defensin	dltC	chromosome	1.0
Enterococcus faecalis	defensin	dltD	chromosome	1.0
Enterococcus faecalis	defensin	mprF	chromosome	2.0
Enterococcus faecalis	macrolide-lincosamide-streptogramin	lsa(A)	chromosome	1.0
Enterococcus faecalis	multidrug	efrA	chromosome	1.0
Enterococcus faecalis	multidrug	efrB	chromosome	1.0
Enterococcus faecalis	multidrug	efrC	chromosome	1.0
Enterococcus faecalis	multidrug	efrD	chromosome	1.0
Enterococcus faecalis	multidrug	efrE	chromosome	1.0
Enterococcus faecalis	multidrug	efrF	chromosome	1.0
Enterococcus faecalis	multidrug	emeA	chromosome	1.0
Escherichia coli	bacitracin	bacA	chromosome	2.0
Escherichia coli	bacteriocin	cbrA	chromosome	1.0
Escherichia coli	bacteriocin	yojI	chromosome	1.0
Escherichia coli	beta-lactam	blaEC	chromosome	1.0
Escherichia coli	biocide	dinF	chromosome	1.0
Escherichia coli	biocide	sugE	chromosome	1.0
Escherichia coli	colistin	arnA	chromosome	1.0
Escherichia coli	colistin	arnB	chromosome	1.0
Escherichia coli	colistin	arnC	chromosome	1.0
Escherichia coli	colistin	arnD	chromosome	1.0
Escherichia coli	colistin	arnE	chromosome	1.0
Escherichia coli	colistin	arnF	chromosome	1.0
Escherichia coli	colistin	arnT	chromosome	1.0
Escherichia coli	colistin	eptA	chromosome	1.0
Escherichia coli	colistin	eptB	chromosome	1.0
Escherichia coli	colistin	ugd	chromosome	1.0
Escherichia coli	fosmidomycin	fsr	chromosome	1.0
Escherichia coli	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Escherichia coli	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Escherichia coli	multidrug	acrA	chromosome	1.0
Escherichia coli	multidrug	acrB	chromosome	1.0
Escherichia coli	multidrug	acrD	chromosome	1.0
Escherichia coli	multidrug	acrE	chromosome	1.0
Escherichia coli	multidrug	acrF	chromosome	1.0
Escherichia coli	multidrug	bcr	chromosome	1.0
Escherichia coli	multidrug	emrA	chromosome	1.0
Escherichia coli	multidrug	emrB	chromosome	1.0
Escherichia coli	multidrug	emrD	chromosome	1.0
Escherichia coli	multidrug	emrE	chromosome	1.0
Escherichia coli	multidrug	emrK	chromosome	1.0
Escherichia coli	multidrug	emrY	chromosome	1.0
Escherichia coli	multidrug	mdfA	chromosome	1.0
Escherichia coli	multidrug	mdtA	chromosome	1.0
Escherichia coli	multidrug	mdtB	chromosome	1.0
Escherichia coli	multidrug	mdtC	chromosome	1.0
Escherichia coli	multidrug	mdtE	chromosome	1.0
Escherichia coli	multidrug	mdtF	chromosome	1.0
Escherichia coli	multidrug	mdtG	chromosome	1.0
Escherichia coli	multidrug	mdtH	chromosome	1.0
Escherichia coli	multidrug	mdtI	chromosome	1.0
Escherichia coli	multidrug	mdtJ	chromosome	1.0
Escherichia coli	multidrug	mdtK	chromosome	1.0
Escherichia coli	multidrug	mdtL	chromosome	1.0
Escherichia coli	multidrug	mdtM	chromosome	1.0
Escherichia coli	multidrug	mdtO	chromosome	1.0
Escherichia coli	multidrug	mdtP	chromosome	1.0
Escherichia coli	multidrug	mdtQ	chromosome	1.0
Escherichia coli	multidrug	smdA	chromosome	1.0
Escherichia coli	multidrug	tolC	chromosome	1.0
Faecalibacterium prausnitzii	bacitracin	bacA	chromosome	1.0
Faecalibacterium prausnitzii	tetracycline	tet(W)	chromosome	1.0
Fusobacterium nucleatum	bacitracin	bacA	chromosome	1.0
Fusobacterium nucleatum	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Lactobacillus fermentum	bacitracin	bacA	chromosome	1.0
Lactobacillus fermentum	defensin	dltA	chromosome	1.0
Lactobacillus fermentum	defensin	dltB	chromosome	1.0
Lactobacillus fermentum	defensin	dltC	chromosome	1.0
Lactobacillus fermentum	defensin	dltD	chromosome	1.0
Lactobacillus fermentum	defensin	mprF	chromosome	1.0
Methanobrevibacter smithii	bacitracin	bacA	chromosome	1.0
Prevotella corporis	tetracycline	tet(Q)	chromosome	1.0
Roseburia hominis	bacitracin	bacA	chromosome	1.0
Salmonella enterica	aminoglycoside	aac(6')-I	chromosome	1.0
Salmonella enterica	bacitracin	bacA	chromosome	2.0
Salmonella enterica	bacteriocin	yojI	chromosome	1.0
Salmonella enterica	biocide	dinF	chromosome	1.0
Salmonella enterica	biocide	smvA	chromosome	1.0
Salmonella enterica	biocide	sugE	chromosome	1.0
Salmonella enterica	colistin	arnA	chromosome	1.0
Salmonella enterica	colistin	arnB	chromosome	1.0
Salmonella enterica	colistin	arnC	chromosome	1.0
Salmonella enterica	colistin	arnD	chromosome	1.0
Salmonella enterica	colistin	arnE	chromosome	1.0
Salmonella enterica	colistin	arnF	chromosome	1.0
Salmonella enterica	colistin	arnT	chromosome	1.0
Salmonella enterica	colistin	eptA	chromosome	1.0
Salmonella enterica	colistin	eptB	chromosome	1.0
Salmonella enterica	colistin	ugd	chromosome	1.0
Salmonella enterica	fosmidomycin	fsr	chromosome	1.0
Salmonella enterica	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Salmonella enterica	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Salmonella enterica	multidrug	acrA	chromosome	1.0
Salmonella enterica	multidrug	acrB	chromosome	1.0
Salmonella enterica	multidrug	acrD	chromosome	1.0
Salmonella enterica	multidrug	bcr	chromosome	1.0
Salmonella enterica	multidrug	emrA	chromosome	1.0
Salmonella enterica	multidrug	emrB	chromosome	1.0
