species	type	subtype	carrier	cnt
Bacteroides fragilis	beta-lactam	cepA	chromosome	1.0
Bifidobacterium adolescentis	bacitracin	bacA	chromosome	1.0
Clostridioides difficile	bacitracin	bacA	chromosome	2.0
Clostridioides difficile	beta-lactam	blaCDD	chromosome	1.0
Clostridioides difficile	biocide	sugE	chromosome	1.0
Clostridioides difficile	defensin	dltB	chromosome	1.0
Clostridioides difficile	defensin	dltC	chromosome	1.0
Clostridioides difficile	defensin	dltD	chromosome	1.0
Clostridioides difficile	glycopeptide	vanG	chromosome	1.0
Clostridioides difficile	glycopeptide	vanT	chromosome	1.0
Clostridioides difficile	macrolide-lincosamide-streptogramin	cplR	chromosome	1.0
Clostridioides difficile	multidrug	cdeA	chromosome	1.0
Clostridioides difficile	multidrug	cme	chromosome	1.0
Clostridioides difficile	nitroimidazole	nimB	chromosome	1.0
Enterobacter cloacae	bacitracin	bacA	chromosome	2.0
Enterobacter cloacae	bacteriocin	yojI	chromosome	1.0
Enterobacter cloacae	beta-lactam	blaCMH	chromosome	1.0
Enterobacter cloacae	biocide	dinF	chromosome	1.0
Enterobacter cloacae	biocide	sugE	chromosome	1.0
Enterobacter cloacae	colistin	arnA	chromosome	1.0
Enterobacter cloacae	colistin	arnB	chromosome	1.0
Enterobacter cloacae	colistin	arnC	chromosome	1.0
Enterobacter cloacae	colistin	arnD	chromosome	1.0
Enterobacter cloacae	colistin	arnE	chromosome	1.0
Enterobacter cloacae	colistin	arnF	chromosome	1.0
Enterobacter cloacae	colistin	arnT	chromosome	1.0
Enterobacter cloacae	colistin	eptA	chromosome	1.0
Enterobacter cloacae	colistin	eptB	chromosome	1.0
Enterobacter cloacae	colistin	ugd	chromosome	1.0
Enterobacter cloacae	fosfomycin	fosA	chromosome	1.0
Enterobacter cloacae	fosmidomycin	fsr	chromosome	1.0
Enterobacter cloacae	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Enterobacter cloacae	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Enterobacter cloacae	multidrug	acrA	chromosome	1.0
Enterobacter cloacae	multidrug	acrB	chromosome	1.0
Enterobacter cloacae	multidrug	acrD	chromosome	1.0
Enterobacter cloacae	multidrug	emmdR	chromosome	1.0
Enterobacter cloacae	multidrug	emrA	chromosome	1.0
Enterobacter cloacae	multidrug	emrB	chromosome	1.0
Enterobacter cloacae	multidrug	emrD	chromosome	1.0
Enterobacter cloacae	multidrug	mdfA	chromosome	1.0
Enterobacter cloacae	multidrug	mdtC	chromosome	1.0
Enterobacter cloacae	multidrug	mdtG	chromosome	1.0
Enterobacter cloacae	multidrug	mdtH	chromosome	1.0
Enterobacter cloacae	multidrug	mdtI	chromosome	1.0
Enterobacter cloacae	multidrug	mdtJ	chromosome	1.0
Enterobacter cloacae	multidrug	mdtK	chromosome	1.0
Enterobacter cloacae	multidrug	mdtQ	chromosome	1.0
Enterobacter cloacae	multidrug	oqxA	chromosome	1.0
Enterobacter cloacae	multidrug	oqxB	chromosome	1.0
Enterobacter cloacae	multidrug	smdA	chromosome	1.0
Enterobacter cloacae	multidrug	smdB	chromosome	1.0
Enterobacter cloacae	multidrug	tolC	chromosome	1.0
Enterobacter cloacae	sulfonamide	sul2	chromosome	1.0
Enterococcus faecalis	aminoglycoside	aph(2'')-I	plasmid	1.0
Enterococcus faecalis	bacitracin	bacA	chromosome	1.0
Enterococcus faecalis	biocide	qacH	plasmid	1.0
Enterococcus faecalis	defensin	dltA	chromosome	1.0
Enterococcus faecalis	defensin	dltB	chromosome	1.0
Enterococcus faecalis	defensin	dltC	chromosome	1.0
Enterococcus faecalis	defensin	dltD	chromosome	1.0
Enterococcus faecalis	defensin	mprF	chromosome	2.0
Enterococcus faecalis	glycopeptide	vanB	chromosome	1.0
Enterococcus faecalis	glycopeptide	vanH	chromosome	1.0
Enterococcus faecalis	glycopeptide	vanX	chromosome	1.0
Enterococcus faecalis	macrolide-lincosamide-streptogramin	erm(B)	plasmid	1.0
Enterococcus faecalis	macrolide-lincosamide-streptogramin	lsa(A)	chromosome	1.0
Enterococcus faecalis	multidrug	efrA	chromosome	1.0
Enterococcus faecalis	multidrug	efrB	chromosome	1.0
Enterococcus faecalis	multidrug	efrC	chromosome	1.0
Enterococcus faecalis	multidrug	efrD	chromosome	1.0
Enterococcus faecalis	multidrug	efrE	chromosome	1.0
Enterococcus faecalis	multidrug	efrF	chromosome	1.0
