species	type	subtype	carrier	cnt
Acinetobacter baumannii	aminoglycoside	ant(3'')-II	chromosome	1
Acinetobacter baumannii	bacitracin	bacA	chromosome	1
Acinetobacter baumannii	beta-lactam	blaADC	chromosome	1
Acinetobacter baumannii	beta-lactam	blaOXA	chromosome	1
Acinetobacter baumannii	beta-lactam	blaOXA	plasmid	1
Acinetobacter baumannii	biocide	aceI	chromosome	1
Acinetobacter baumannii	fosfomycin	abaF	chromosome	1
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	macA	chromosome	1
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	macB	chromosome	1
Acinetobacter baumannii	multidrug	abaQ	chromosome	1
Acinetobacter baumannii	multidrug	abeM	chromosome	1
Acinetobacter baumannii	multidrug	abeS	chromosome	1
Acinetobacter baumannii	multidrug	adeA	chromosome	1
Acinetobacter baumannii	multidrug	adeB	chromosome	1
Acinetobacter baumannii	multidrug	adeF	chromosome	1
Acinetobacter baumannii	multidrug	adeG	chromosome	1
Acinetobacter baumannii	multidrug	adeH	chromosome	1
Acinetobacter baumannii	multidrug	adeI	chromosome	1
Acinetobacter baumannii	multidrug	adeJ	chromosome	1
Acinetobacter baumannii	multidrug	adeK	chromosome	1
Acinetobacter baumannii	multidrug	adeT	chromosome	2
Acinetobacter baumannii	multidrug	amvA	chromosome	1
Acinetobacter baumannii	phenicol	craA	chromosome	1
Acinetobacter baumannii	phenicol	cxpE	chromosome	1
Bacillus cereus	bacitracin	bacA	chromosome	1
Bacillus cereus	beta-lactam	bla*	chromosome	1
Bacillus cereus	beta-lactam	bla1	chromosome	1
Bacillus cereus	beta-lactam	bla2	chromosome	1
Bacillus cereus	beta-lactam	bla3	chromosome	1
Bacillus cereus	beta-lactam	bla3	plasmid	1
Bacillus cereus	defensin	dltA	chromosome	1
Bacillus cereus	defensin	dltB	chromosome	1
Bacillus cereus	defensin	dltC	chromosome	1
Bacillus cereus	defensin	dltD	chromosome	2
Bacillus cereus	defensin	mprF	chromosome	1
Bacillus cereus	fosfomycin	fosB	chromosome	1
Bacillus cereus	macrolide-lincosamide-streptogramin	lsa*	chromosome	1
Bacillus cereus	macrolide-lincosamide-streptogramin	vat*	chromosome	1
Bacillus cereus	phenicol	catA	chromosome	1
Bacillus cereus	streptothricin	satA	chromosome	1
Bacillus cereus	tetracycline	tet*	chromosome	1
Campylobacter jejuni	bacitracin	bacA	chromosome	1
Campylobacter jejuni	beta-lactam	blaOXA	chromosome	1
Campylobacter jejuni	colistin	eptC	chromosome	1
Campylobacter jejuni	multidrug	cmeA	chromosome	1
Campylobacter jejuni	multidrug	cmeB	chromosome	1
Campylobacter jejuni	multidrug	cmeC	chromosome	1
Campylobacter jejuni	multidrug	cmeD	chromosome	1
Campylobacter jejuni	multidrug	cmeE	chromosome	1
Campylobacter jejuni	multidrug	cmeF	chromosome	1
Citrobacter freundii	aminoglycoside	aac(6')-I	chromosome	1
Citrobacter freundii	bacitracin	bacA	chromosome	2
Citrobacter freundii	bacteriocin	cbrA	chromosome	1
Citrobacter freundii	bacteriocin	yojI	chromosome	1
Citrobacter freundii	beta-lactam	blaCMY	chromosome	1
Citrobacter freundii	biocide	dinF	chromosome	1
Citrobacter freundii	biocide	smvA	chromosome	1
Citrobacter freundii	biocide	sugE	chromosome	1
Citrobacter freundii	colistin	arnA	chromosome	1
Citrobacter freundii	colistin	arnB	chromosome	1
Citrobacter freundii	colistin	arnC	chromosome	1
Citrobacter freundii	colistin	arnD	chromosome	1
Citrobacter freundii	colistin	arnE	chromosome	1
Citrobacter freundii	colistin	arnF	chromosome	1
Citrobacter freundii	colistin	arnT	chromosome	1
Citrobacter freundii	colistin	eptA	chromosome	1
Citrobacter freundii	colistin	eptB	chromosome	1
Citrobacter freundii	colistin	ugd	chromosome	1
Citrobacter freundii	fosmidomycin	fsr	chromosome	1
Citrobacter freundii	macrolide-lincosamide-streptogramin	macA	chromosome	1
Citrobacter freundii	macrolide-lincosamide-streptogramin	macB	chromosome	1
Citrobacter freundii	multidrug	acrA	chromosome	1
Citrobacter freundii	multidrug	acrB	chromosome	1
Citrobacter freundii	multidrug	acrD	chromosome	1
Citrobacter freundii	multidrug	bcr	chromosome	1
Citrobacter freundii	multidrug	emrA	chromosome	1
Citrobacter freundii	multidrug	emrB	chromosome	1
Citrobacter freundii	multidrug	emrD	chromosome	1
Citrobacter freundii	multidrug	emrE	chromosome	1
Citrobacter freundii	multidrug	mdfA	chromosome	1
Citrobacter freundii	multidrug	mdtB	chromosome	1
Citrobacter freundii	multidrug	mdtC	chromosome	1
Citrobacter freundii	multidrug	mdtG	chromosome	1
Citrobacter freundii	multidrug	mdtH	chromosome	1
Citrobacter freundii	multidrug	mdtI	chromosome	1
Citrobacter freundii	multidrug	mdtJ	chromosome	1
Citrobacter freundii	multidrug	mdtK	chromosome	1
Citrobacter freundii	multidrug	mdtM	chromosome	1
Citrobacter freundii	multidrug	mdtN	chromosome	1
Citrobacter freundii	multidrug	mdtO	chromosome	1
Citrobacter freundii	multidrug	mdtP	chromosome	1
Citrobacter freundii	multidrug	mdtQ	chromosome	1
Citrobacter freundii	multidrug	smdA	chromosome	1
Citrobacter freundii	multidrug	smdB	chromosome	1
Citrobacter freundii	multidrug	tolC	chromosome	1
Clostridioides difficile	bacitracin	bacA	chromosome	2
Clostridioides difficile	beta-lactam	blaCDD	chromosome	1
Clostridioides difficile	biocide	sugE	chromosome	1
Clostridioides difficile	defensin	dltB	chromosome	1
Clostridioides difficile	defensin	dltC	chromosome	1
Clostridioides difficile	defensin	dltD	chromosome	1
Clostridioides difficile	glycopeptide	vanG	chromosome	1
Clostridioides difficile	glycopeptide	vanT	chromosome	1
Clostridioides difficile	macrolide-lincosamide-streptogramin	cplR	chromosome	1
Clostridioides difficile	multidrug	cdeA	chromosome	1
Clostridioides difficile	multidrug	cme	chromosome	1
Clostridioides difficile	nitroimidazole	nimB	chromosome	1
Enterobacter cloacae	bacitracin	bacA	chromosome	2
Enterobacter cloacae	bacteriocin	yojI	chromosome	1
Enterobacter cloacae	beta-lactam	blaCMH	chromosome	1
Enterobacter cloacae	beta-lactam	blaOXA	plasmid	1
Enterobacter cloacae	biocide	dinF	chromosome	1
Enterobacter cloacae	biocide	sugE	chromosome	1
Enterobacter cloacae	colistin	arnA	chromosome	1
Enterobacter cloacae	colistin	arnB	chromosome	1
Enterobacter cloacae	colistin	arnC	chromosome	1
Enterobacter cloacae	colistin	arnD	chromosome	1
Enterobacter cloacae	colistin	arnE	chromosome	1
Enterobacter cloacae	colistin	arnF	chromosome	1
Enterobacter cloacae	colistin	arnT	chromosome	1
Enterobacter cloacae	colistin	eptA	chromosome	1
Enterobacter cloacae	colistin	eptB	chromosome	1
Enterobacter cloacae	colistin	ugd	chromosome	1
Enterobacter cloacae	fosfomycin	fosA	chromosome	1
Enterobacter cloacae	fosmidomycin	fsr	chromosome	1
Enterobacter cloacae	macrolide-lincosamide-streptogramin	macA	chromosome	1
Enterobacter cloacae	macrolide-lincosamide-streptogramin	macB	chromosome	1
Enterobacter cloacae	multidrug	acrA	chromosome	1
Enterobacter cloacae	multidrug	acrB	chromosome	1
Enterobacter cloacae	multidrug	acrD	chromosome	1
Enterobacter cloacae	multidrug	emmdR	chromosome	1
Enterobacter cloacae	multidrug	emrA	chromosome	1
Enterobacter cloacae	multidrug	emrB	chromosome	1
Enterobacter cloacae	multidrug	emrD	chromosome	1
Enterobacter cloacae	multidrug	mdfA	chromosome	1
